epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.7786,0.28401,1.43167,1.04293,0.8183,0.51129,0.72164,0.65834,0.36539,1.51136,0.50989,0.000301948,0.000301948,0.000301948
2,142.927,0.2121,0.91382,0.96043,0.79695,0.49598,0.53231,0.4923,0.65931,2.34036,0.66778,0.000598959,0.000598959,0.000598959
3,206.752,0.20119,0.86825,0.94754,0.60934,0.70311,0.63183,0.59916,0.28349,1.47146,0.41327,0.000889971,0.000889971,0.000889971
4,269.265,0.1753,0.80989,0.93051,0.52606,0.58381,0.61641,0.60377,0.22049,1.89659,0.27818,0.000882003,0.000882003,0.000882003
5,332.668,0.14215,0.73278,0.92104,0.82931,0.81868,0.88958,0.87118,0.2641,0.81413,0.36067,0.000873004,0.000873004,0.000873004
6,394.673,0.13143,0.67914,0.91421,0.72252,0.84376,0.89025,0.88937,0.17874,0.66087,0.26234,0.000864004,0.000864004,0.000864004
7,457.126,0.12315,0.64813,0.90949,0.85992,0.80332,0.92419,0.88426,0.2076,0.6007,0.28451,0.000855005,0.000855005,0.000855005
8,523.63,0.12117,0.61898,0.91179,0.89224,0.84553,0.93055,0.92573,0.12823,0.53375,0.17265,0.000846006,0.000846006,0.000846006
9,589.066,0.11653,0.59475,0.90622,0.82521,0.87692,0.93004,0.91973,0.18482,0.56942,0.27276,0.000837007,0.000837007,0.000837007
10,650.981,0.11086,0.55411,0.90223,0.82769,0.87652,0.95243,0.95013,0.13469,0.5375,0.23814,0.000828008,0.000828008,0.000828008
11,714.742,0.10143,0.53864,0.90183,0.86397,0.90998,0.94509,0.94286,0.17741,0.4432,0.24385,0.000819009,0.000819009,0.000819009
12,784.371,0.10333,0.52741,0.90404,0.76194,0.85121,0.87725,0.69824,0.41775,1.02483,0.40142,0.00081001,0.00081001,0.00081001
13,857.958,0.09485,0.50898,0.90104,0.82555,0.84551,0.9282,0.92626,0.20086,0.63454,0.2666,0.000801011,0.000801011,0.000801011
14,924.356,0.09637,0.50285,0.90267,0.87643,0.91467,0.96208,0.95813,0.21718,0.46108,0.30745,0.000792012,0.000792012,0.000792012
15,989.281,0.08905,0.47745,0.89939,0.80946,0.88647,0.93189,0.92592,0.19487,0.49411,0.29012,0.000783013,0.000783013,0.000783013
16,1056.41,0.09021,0.47586,0.90076,0.89176,0.92373,0.95882,0.95097,0.1756,0.45804,0.27134,0.000774013,0.000774013,0.000774013
17,1127.62,0.08874,0.4648,0.90067,0.92134,0.93642,0.97213,0.97213,0.16484,0.35538,0.23682,0.000765014,0.000765014,0.000765014
18,1192.55,0.0857,0.44475,0.89464,0.90546,0.91514,0.96869,0.96518,0.17755,0.40097,0.26284,0.000756015,0.000756015,0.000756015
19,1255.78,0.08251,0.43678,0.89517,0.91215,0.92721,0.9687,0.96732,0.13335,0.33386,0.21446,0.000747016,0.000747016,0.000747016
20,1323.38,0.0831,0.44773,0.89651,0.85181,0.89737,0.94567,0.87953,0.2714,0.50378,0.28702,0.000738017,0.000738017,0.000738017
21,1388.01,0.07933,0.42217,0.89614,0.9144,0.91029,0.968,0.96135,0.19534,0.38657,0.24214,0.000729018,0.000729018,0.000729018
